# The gdbstub register NAME -> generic wire register map for aarch64.
#
# name<TAB>generic<TAB>ground.  This is the SECOND namespace: the spelling
# qemu_plugin_get_registers() hands a plugin, which is the namespace a VALUE
# READ resolves through.  It is not the TCG-global namespace aarch64.tsv
# carries, and the two disagree on real registers -- which is the whole reason
# both exist.
#
# The names are not chosen here: scripts/cst-regmap.py --namespace gdb reads
# them out of the target's own CORE feature XML and REFUSES to generate if
# this file is short a name or carries one the feature never declares.
#
# A row whose ground begins "incumbent:" was already adjudicated on the
# Capstone-era per-ISA table, which keyed its value-read route on this same
# gdb (feature, name) pair; those rows carry that adjudication forward
# unchanged so E1's deletion of that table loses nothing.

cpsr	REG_FLAGS	incumbent: the per-ISA table routed this gdb name here
pc	REG_IP	the program counter; Capstone's ARM64 register enum has no PC row, so the incumbent table never named it
sp	REG_SP	incumbent: the per-ISA table routed this gdb name here
x0	REG_GPR0	incumbent: the per-ISA table routed this gdb name here
x1	REG_GPR1	incumbent: the per-ISA table routed this gdb name here
x10	REG_GPR10	incumbent: the per-ISA table routed this gdb name here
x11	REG_GPR11	incumbent: the per-ISA table routed this gdb name here
x12	REG_GPR12	incumbent: the per-ISA table routed this gdb name here
x13	REG_GPR13	incumbent: the per-ISA table routed this gdb name here
x14	REG_GPR14	incumbent: the per-ISA table routed this gdb name here
x15	REG_GPR15	incumbent: the per-ISA table routed this gdb name here
x16	REG_GPR16	incumbent: the per-ISA table routed this gdb name here
x17	REG_GPR17	incumbent: the per-ISA table routed this gdb name here
x18	REG_GPR18	incumbent: the per-ISA table routed this gdb name here
x19	REG_GPR19	incumbent: the per-ISA table routed this gdb name here
x2	REG_GPR2	incumbent: the per-ISA table routed this gdb name here
x20	REG_GPR20	incumbent: the per-ISA table routed this gdb name here
x21	REG_GPR21	incumbent: the per-ISA table routed this gdb name here
x22	REG_GPR22	incumbent: the per-ISA table routed this gdb name here
x23	REG_GPR23	incumbent: the per-ISA table routed this gdb name here
x24	REG_GPR24	incumbent: the per-ISA table routed this gdb name here
x25	REG_GPR25	incumbent: the per-ISA table routed this gdb name here
x26	REG_GPR26	incumbent: the per-ISA table routed this gdb name here
x27	REG_GPR27	incumbent: the per-ISA table routed this gdb name here
x28	REG_GPR28	incumbent: the per-ISA table routed this gdb name here
x29	REG_FP_REG	incumbent: the per-ISA table routed this gdb name here
x3	REG_GPR3	incumbent: the per-ISA table routed this gdb name here
x30	REG_LR	incumbent: the per-ISA table routed this gdb name here
x4	REG_GPR4	incumbent: the per-ISA table routed this gdb name here
x5	REG_GPR5	incumbent: the per-ISA table routed this gdb name here
x6	REG_GPR6	incumbent: the per-ISA table routed this gdb name here
x7	REG_GPR7	incumbent: the per-ISA table routed this gdb name here
x8	REG_GPR8	incumbent: the per-ISA table routed this gdb name here
x9	REG_GPR9	incumbent: the per-ISA table routed this gdb name here
