# THE OPERAND WALK'S ADJUDICATION TABLE.  srcwalk_worklist.py joins every
# (isa, mnemonic, register) that LOSES a published source register when the
# Capstone operand walk is deleted -- the exec171 price, 540,798 encodings --
# to these rows, and REFUSES on any losing signature that matches none, on any
# that matches two, and on any row here that matches nothing.
#
# THE ONE QUESTION EVERY ROW ANSWERS: does the ENCODING NAME the register?
#
# REAL-OPERAND      the encoding names it as an ordinary operand and QEMU does
#                   not state that read.  Remedy: a statement at QEMU's
#                   decoder.  A wire change; owes R13.
# REAL-VOCAB-GAP    the encoding names it and QEMU reads it, but the tracer
#                   has no declared regfile row to name it WITH.  Remedy: a
#                   second row source, the #332 precedent.
# REAL-QEMU-ELIDES  QEMU's chosen lowering drops a register the encoding
#                   names.  R15 verbatim: that is NEVER grounds to remove it
#                   from the wire.
# SUPERSET          the encoding does NOT name it, or a standing ruling says
#                   the read does not exist.  The walk over-named it and the
#                   wire is RIGHT to drop it.  Needs the ruling AND a
#                   whole-population arm -- plausibility is not a verdict.
# OPEN              no verdict.  MUST carry the question and the method that
#                   would answer it; the instrument refuses an OPEN row with
#                   no question mark in its note.
#
# MEASURED AT exec171 corpA/corpB (#tip 93cf8d1892, #so 4617703df32cf88b), the
# only banked pair in which arm B is the walk-deleted tree.  Counts in the
# notes are reg-INSTANCES over that pair unless they say encodings.
#
# class_id	isa	mnem_rx	reg_rx	disposition	citation	note
#
# RE-CUT AT exec181 AGAINST A WHOLE-POPULATION MEASUREMENT (D17).
#
# TRAP-STATE IS NO LONGER A ROW HERE.  `trapstate_probe.py` now reads QEMU's
# own ops for EVERY losing encoding on all four ISAs -- 307,823 of them, with
# both controls firing on every run -- and `srcwalk_worklist.py --trapstate`
# credits the disposition per ENCODING from that table instead of from a
# signature written by hand.  Twenty-eight rows retired with the change:
#
#   x86_64   x86-gpr-operand, x86-pred-operand, x86-abi-operand,
#            x86-flags-src, x86-ssp        (147,119 of 147,602 instances
#                                           read TRAP-ONLY)
#   aarch64  a64-sme-{pred,gpr,vec,abi}, a64-matrix-za, a64-fpctrl,
#            a64-prefetch-{gpr,vec,abi}, a64-ssp, a64-vctrl
#   mipsel   every *-trapstate row, mips-vec-operand, mips-fpctrl,
#            mips-abi-operand
#   riscv64  rv-ssp, rv-fpr
#
# They are RETIRED rather than left at zero because a row that claims nothing
# is how a worklist stops being one; the measurement that replaced them is
# reproducible from `trapstate_probe.py --isa <isa> --encs <losing encodings>`
# and its verdict tables are the evidence.
#
# TWO ROWS WERE NARROWED RATHER THAN RETIRED.  `x86-vec-operand` and
# `x86-sys` matched every mnemonic (`.`); after the probe only `movhlps` and
# `rdpmc` survive, so the rows now name them.  A wide pattern over a
# population that shrank would keep swallowing whatever reappeared, and the
# point of the join's UNCLAIMED refusal is that a new signature has to be
# looked at.
#
#
# EXEC182 RETIRED THREE MORE AARCH64 ROWS AND ONE MIPSEL ROW, for two
# different reasons that must not be confused with each other.
#
#   a64-gpr-executed, a64-abi-executed, a64-zero-named  ->  REPLACED by
#       a64-extr-lsb0, a64-bfm-fullwidth and a64-wfet-zero.  Their written
#       justification -- "every one names the register in its operand text ...
#       as an ordinary source operand" -- was TRUE AND NOT ENOUGH.  Naming is
#       not reading: `extr Xd,Xn,Xm,#0` is architecturally `Xd = Xm` and Xn
#       supplies no bit of the result, and a 64-bit `bfxil` at immr=0/imms=63
#       preserves nothing of its destination.  Both were called REAL-OPERAND
#       on the naming answer alone.  The whole-population arm is
#       `srcwalk_worklist.py --encfield`.
#
#   mips-zero-named  ->  RETIRED, no replacement.  Its whole population was
#       `ins`/`ext` encodings with an invalid field spec, which the swept
#       24Kf answers with EXCP_RI; the trapstate probe reads them TRAP-ONLY
#       and the row claims nothing.  This is the D17 route, not the naming
#       route, and it is retired on the same rule as the twenty-eight above.
#
#
# AND THE DEAD-VALUE PASS RETIRED TWO MORE MIPSEL ROWS.  `mips-acc` (4,224)
# and `mips-flags` (288) claimed the DSP accumulate and DSPControl
# populations.  On the model the corpus was swept at (24Kf, no DSP ASE) every
# one of those encodings raises EXCP_RI and the guest answers SIGILL; what
# kept them reading DATAPATH was the dead helper call's own argument setup,
# hoisted above the raise.  With the arguments read as the dead values they
# are, mipsel DATAPATH falls 2,579 -> 206 and both rows claim nothing.
#
# THE CONTROL THAT MAKES THIS QUOTABLE: the same re-sweep leaves aarch64,
# riscv64 and x86_64 verdict counts BYTE-IDENTICAL.  The pass fires on
# exactly the one ISA whose `check_dsp()` emits the raise and keeps
# generating, which is the defect it was written for.
#
# exec177-2's "mips-acc CONFIRMED REAL (#228 accumulate, 6,708 DATAPATH, $ac
# named)" is superseded.  The #228 accumulate shape is real where the ASE is
# ENABLED; on the swept model it is a trap, and that is what D17 is about.
#
a64-extr-lsb0	aarch64	^extr$	^REG_.+$	SUPERSET	ARM ARM C6.2.106 EXTR: result = (Rn:Rm)<lsb+datasize-1:lsb>; at lsb==0 that is Rm alone.  srcwalk_worklist.py --encfield aarch64:^extr$:15:10 over the whole losing family (96/96, 100% imms=0).  QEMU's own lowering witnessed: `extr w0,w0,w1,#0` -> `ext32u_i64 x0,x1`, one source.	96 instances, ALL of them EXTR with imms (lsb) == 0, measured over the family and not sampled.  At lsb 0 the concatenation is shifted by nothing, so Rn contributes ZERO BITS to the result: the encoding NAMES Rn and the instruction EXECUTES and Rn is still not read.  QEMU is right and the walk is a superset.  THIS IS A THIRD QUESTION, distinct from the two the earlier rows asked (exec177: does the encoding name it; exec181: did the datapath run) -- both answer YES here.  The rows a64-gpr-executed / a64-abi-executed / the extr half of a64-zero-named called this REAL-OPERAND on the naming answer alone; that justification was false and is retired with them.
a64-bfm-fullwidth	aarch64	^(bfxil|bfc)$	^REG_.+$	SUPERSET	ARM ARM C6.2.32 BFM: the destination bits OUTSIDE the inserted field are preserved; at immr==0, imms==63, sf==1 that set is EMPTY.  srcwalk_worklist.py --encfield aarch64:^(bfxil|bfc)$:15:10 and :21:16 over the whole losing family (36/36 each, 100% imms=0x3f and immr=0x00).  QEMU's own lowering witnessed: `bfxil xzr,x0,#0,#64` emits reads of x0 only.	36 instances, ALL of them 64-bit BFM inserting the FULL width, measured over the family and not sampled.  A merging partial write reads the word it preserves (R17) -- but a write that covers every bit preserves nothing, so there is no preserve-read to state.  The walk names the destination because BFM's general form has one; this form does not.  Same third question as a64-extr-lsb0 and the same retirement of the naming-only justification.
a64-wfet-zero	aarch64	^wfet$	^REG_ZERO$	REAL-QEMU-ELIDES	R7.3; QEMU's own ops for 1f1003d5 (`wfet xzr`) are `mov_i64 pc,...` + `call wfe,$0x0,$0,env` -- the timeout operand reaches no op.  exec160's banked WFET_XZR.patch is the remedy and names the same site.	1 instance, and the only survivor of the old a64-zero-named row.  WFET's operand Xt is architecturally read as the timeout; at Rt==31 that read is of XZR, and QEMU models WFET as WFE and consults neither.  This is the zero-register statement shape R7.3 already governs, NOT the extr/bfxil superset beside it -- which is why the old row, which lumped all three mnemonics together, could not be re-scored as a unit.
x86-vec-preserved-dst	x86_64	^movhlps$	^REG_VEC\d+$	SUPERSET	R7.1 verbatim at include/exec/insn-dataflow.h:1783; Intel SDM MOVHLPS: DEST[63:0] := SRC[127:64], DEST[127:64] (and everything above) UNMODIFIED; QEMU's own ops for 66480f12c1 / 66480f12d8 / 66480f12c8 are `ld_i64 loc4,env,$X` + `st_i64 loc4,env,$X` at ONE offset that tracks the modrm RM field (xmm0 at env+0x360, xmm1 at env+0x3a0, stride 0x40) -- the register the walk loses is xmm[modrm.reg], which QEMU neither reads nor writes	480 instances, 30 encodings x 16 vector registers. THIS ROW READ REAL-OPERAND AND THE JUSTIFICATION CONTRADICTED THE RULE IT CITED: "movhlps writes the LOW 64 bits of Vd and PRESERVES the high 64, so Vd is read" is exactly the inference R7.1 forbids, and R7.1 was the citation. It is the same shape as a64-vec-narrow-upper on the other ISA -- a merging partial write over a half the architecture does not take as a source -- and the two now answer alike. x86 has no bit-field to run --regfield over (it would be a decoder); the slot is read off QEMU's own offsets instead, which is a stronger arm than a disassembler's operand order because it names the register QEMU actually touched.
a64-ccond-always-walk	aarch64	^(ccmp|ccmn|fccmp|fccmpe)$	^REG_FLAGS$	SUPERSET	BAR_CLASSES.tsv a64-ccond-always: target/arm/tcg/translate.c:707 arm_test_cc cond<3:1>==111 is 'always'; whole-population arm through famarm.py --field 15:12; exec177/A64_TRAPSTATE.tsv (trapstate_probe.py, whole population)	1,152 instances and 1,152 encodings -- EXACTLY the count that row's own whole-population arm scored. With an always-true condition the comparison always executes, the nzcv immediate is never used, and NZCV is written without being read. THE SUPERSET VERDICT SURVIVED THIS PASS'S PROBE and that is the control that matters: trapstate_probe reads DATAPATH on 1,152 of 1,152, so this row is a judgement about an instruction that RAN, unlike the SME rows beside it.
a64-rmif-flags-walk	aarch64	^rmif$	^REG_FLAGS$	SUPERSET	BAR_CLASSES.tsv a64-rmif-flags: trans_RMIF writes cpu_NF/ZF/CF/VF and reads none; R7.1 at include/exec/insn-dataflow.h; exec177/A64_TRAPSTATE.tsv (trapstate_probe.py, whole population)	192 instances and 192 encodings -- again exactly that row's whole-population count, and again DATAPATH on 192 of 192. R7.1 verbatim: an unmodified upper part does not imply a source.
a64-vec-narrow-upper	aarch64	^(addhn2|bfcvtn2|fcvtn2|fcvtxn2|raddhn2|rshrn2|rsubhn2|shrn2|sqrshrn2|sqrshrun2|sqshrn2|sqshrun2|sqxtn2|sqxtun2|subhn2|uqrshrn2|uqshrn2|uqxtn2|xtn2)$	^REG_VEC\d+$	SUPERSET	R7.1 verbatim at include/exec/insn-dataflow.h:1783 -- "the fact that a register's upper contents may not be modified does not imply it is a source AND a destination for the instruction unless the instruction specifically takes it as a source"; ARM ARM C7.2 the `2` forms write the UPPER half and leave the lower half UNCHANGED; srcwalk_worklist.py --encfield aarch64:<family>:30:30 (1536/1536 = Q=1) and --regfield aarch64:<family>:4:0 (1536/1536 MATCH); QEMU's own ops for 4e21281f `xtn2 v31.16b, v0.8h` read env+0xcf0/0xcf8 (v0) and write env+0x2bf8 (v31's UPPER half) -- v31's lower half at 0x2bf0 is neither read nor written	1,536 instances on 19 mnemonics, and the two arms partition the claim exactly: EVERY losing encoding has Q=1 (the `2` form, whole population, not a sample) and EVERY losing register is the DESTINATION named by bits 4:0. R7.1 rules on this shape and rules it NOT a source: a half the instruction preserves is not a half it reads, and none of these 19 mnemonics takes Vd as a source in its definition. QEMU is right and the walk over-named. THE SLOT IS LOAD-BEARING and is why this is a different row from a64-vec-shift-esize below, whose losing register is the SOURCE for a different reason.
a64-vec-shift-zero-insert	aarch64	^(sli|shl)$	^REG_VEC\d+$	SUPERSET	ARM ARM C7.2.328 SLI: the destination bits OUTSIDE the inserted field are preserved, and at shift 0 that set is EMPTY; C7.2.322 SHL: Vd = Vn << shift, Vd is a destination only; srcwalk_worklist.py --encfield aarch64:^sli$:22:16 (78/78 = 0x08) and :^shl$: (3/3 = 0x08), immh=0b0001 so esize=8 and shift = immh:immb - esize = 0; --regfield aarch64:^(sli|shl)$:4:0 (81/81 MATCH); QEMU's ops for 2f08541f `sli v31.8b, v0.8b, #0` are ld_i64 of v0 and st_i64 into v31 -- v31 is never read	81 instances, ALL at shift 0 on 8-bit elements, measured over the family and not sampled, and ALL of them the DESTINATION (bits 4:0). Same third question as a64-bfm-fullwidth: a merging partial write reads the word it preserves -- but an insert that covers every bit preserves nothing, so there is no preserve-read to state. SHL never took Vd as a source at any shift and is here only because the walk names it.
a64-vec-shift-esize	aarch64	^(sri|usra|srsra|ushr|srshr)$	^REG_VEC\d+$	SUPERSET	The a64-extr-lsb0 precedent (a711a8e909) verbatim: a named operand of an EXECUTING instruction that contributes ZERO BITS to the result is not read. srcwalk_worklist.py --encfield aarch64:<family>:22:16 (294/294 = 0x08, immh=0b0001 so esize=8 and the right-shift amount = 2*esize - immh:immb = 8 = esize) and --regfield aarch64:<family>:9:5 (294/294 MATCH = Rn, the SOURCE); ARM ARM C7.2: at shift == esize USHR/SRSHR yield 0 for every input ((x+2^7)>>8 == 0 for x in [-128,127]), USRA/SRSRA add that 0 to Vd, and SRI's inserted field is zero-width; QEMU's ops for 2f080400/0f082400/2f081401/0f083401/2f084401 read NO vector register	294 instances on 5 mnemonics, ALL at the maximum right shift for 8-bit elements, measured over the family and not sampled, and ALL of them the SOURCE Rn (bits 9:5) -- NOT the destination, which is why this cannot share a row with a64-vec-narrow-upper above. At shift == esize the source is shifted entirely out: the result is a constant 0 (ushr/srshr), Vd unchanged (usra/srsra/sri), and Vn supplies no bit of it. FILED IN PASSING, and it is NOT this bar's subject: USRA/SRSRA/SRI do read Vd architecturally and Vd is on NEITHER arm, so the walk never named it either -- a pre-existing Capstone gap, not a loss the deletion causes.
a64-sys	aarch64	^sysl$	^REG_SYS	OPEN	exec177/A64_TRAPSTATE.tsv (trapstate_probe.py, whole population, 97,380 encodings, controls DATAPATH/TRAP-ONLY both fired); R7.4 (a trap-deciding CSR IS a source); target/arm/tcg/translate-a64.c handle_sys() -> unallocated_encoding() for an encoding no cpreg claims	6,122 instances, all sysl, and the probe SPLITS them: 5,354 TRAP-ONLY and 768 DATAPATH. The 5,354 are the shape this row was asked about -- exec174 asked "the encoding plainly names the system register, so why is this not already a statement?" and the answer for those is that THERE IS NO SUCH REGISTER on this CPU model: the ops are `mov_i64 pc` + `call exception_with_syndrome,...,$0x2000000` (EC 0x00, unallocated), so the machine read nothing. QUESTION, now sharp and confined to 768: those DO execute (`sysl x0, #0, c11, c0, #0`), so what does QEMU state for them, and is the gap the get_cp_reg64 descriptor-pointer opacity already filed as #229? The two halves must not be given one verdict.
