# THE SOURCE BAR'S ADJUDICATION TABLE.  barledger.py joins the
# family table from `srcbar.py --tsv` to these rows and REFUSES
# on any family that matches none, on any that matches two, and
# on any row here that matches nothing.
#
# QEMU-STATES-IT  QEMU's translation contains the read and the
#                 extraction does not carry it out -- a defect
#                 with a source site.  A wire change; owes R13.
# RULED           an architectural fact or a standing ruling
#                 says the register is NOT a source, so the arm
#                 that drops it is right.  Needs the ruling AND
#                 the QEMU code AND a whole-population arm.
# BLOCKED         a NAMED question stands in the way.  A
#                 BLOCKED row whose note asks no question is a
#                 refusal, not a row.
#
# class_id	isa	rule_rx	mnem_rx	reg_rx	disposition	citation	note
a64-ccond-always	aarch64	^disas_a64/(CCMP|FCCMP)$	^(ccmp|ccmn|fccmp|fccmpe)$	^REG_FLAGS$	RULED	target/arm/tcg/translate.c:707 arm_test_cc case 14/15 -> TCG_COND_ALWAYS; ARM ARM A64 cond<3:1>==111 is 'always'	WHOLE-POPULATION ARM through famarm.py --field 15:12, over all 1,152 losing encodings: TWO bins, 0xE=576 and 0xF=576, and no third. With an always-true condition the comparison ALWAYS executes, the nzcv immediate is never used, and NZCV is written without being read. The arm that drops it is right; Capstone's flag source is false.
a64-rmif-flags	aarch64	^disas_a64/RMIF$	^rmif$	^REG_FLAGS$	RULED	target/arm/tcg/translate-a64.c trans_RMIF -- every branch WRITES cpu_NF/ZF/CF/VF and none reads one; R7.1 at include/exec/insn-dataflow.h	WHOLE-POPULATION ARM through famarm.py --field 3:0, over all 192 losing encodings: 0=82, 1=54, 2=28, 3=28. mask=0 writes no flag at all. The rest write the selected flags and leave the others UNCHANGED, which R7.1 rules verbatim is not a source: 'the fact that a register's upper contents may not be modified does not imply it is a source'.
a64-narrow-upper-half	aarch64	^disas_a64/	^(xtn2|sqxtn2|sqxtun2|uqxtn2|shrn2|rshrn2|sqshrn2|sqshrun2|sqrshrn2|sqrshrun2|uqshrn2|uqrshrn2|addhn2|raddhn2|subhn2|rsubhn2|fcvtn2|fcvtxn2|bfcvtn2)$	^REG_VEC	RULED	target/arm/tcg/translate-a64.c do_2misc_narrow_vector -- read_vec_element on rn only, write_vec_element into rd elements 2 and 3, then clear_vec_high(rd); R7.1	ROLE ARM through famarm.py, over the bar's own 1,536 losing registers (96 NO-DECODE rows EXCLUDED and reported): the Rd SLOT on 100.0% -- 1,520 Rd and 16 Rd+Rm where the two indices coincide. The `2' forms write the UPPER half and leave the lower half untouched; QEMU expresses that by writing half the storage and by a self-move (clear_vec_high), never by reading. Preservation is not a source.
a64-shift-degenerate-zero	aarch64	^disas_(a64|sve)/	^(ushr|srshr)$	^REG_VEC	RULED	target/arm/tcg/gengvec.c:123 gen_gvec_ushr and :381 gen_gvec_srshr -- tcg_gen_gvec_dup_imm(vece, rd_ofs, opr_sz, max_sz, 0)	WHOLE-POPULATION ARM: 100% of the 78 losing encodings decode to right-shift == esize == 8, the architecturally valid shift whose result is all zeros. ROLE ARM: the lost register is Rn on 36 of 39 per rule (the other 3 have Rd==Rn). A result that is a CONSTANT has no source.
a64-shift-degenerate-accum	aarch64	^disas_(a64|sve)/	^(usra|srsra|sri)$	^REG_VEC	RULED	target/arm/tcg/gengvec.c:319 gen_gvec_usra, :527 gen_gvec_srsra, :831 gen_gvec_sri -- the shift==esize branch STATES the Vd read (2fad558e0c); at that shift Vn contributes no bit to the result	WHOLE-POPULATION ARM: shift == esize on 100% of the losing encodings. The class was 450 registers and TWO populations, and the Rd half is CLOSED: 2fad558e0c states the accumulate source at the degenerate branch and QEMU now names Rd in QN on all 234. RE-MEASURED at 87e7391a0b over the tip and deletion arms at wp{0,16}, famarm.py --role puts the 216 SURVIVING losing registers at Rn 210 (97.2%) + Rn==Rm 6 (2.8%) and Rd ZERO -- so what is left is exactly the half this row's own first draft called a correct drop. RULED on a64-shift-degenerate-zero's and a64-shift-insert-full's sentence, verbatim: a register that contributes no bit to the result is not a source. USRA and SRSRA add a term that is all zeros at this shift and SRI writes none of the bits, so Vn reaches the published value nowhere.
a64-shift-insert-full	aarch64	^disas_(a64|sve)/	^(sli|shl)$	^REG_VEC	RULED	target/arm/tcg/gengvec.c gen_gvec_sli / tcg_gen_gvec_shli	WHOLE-POPULATION ARM: left-shift == 0 on 100% of the 81 losing encodings, where the insert mask covers the whole element and the result is Vn alone. ROLE ARM: the lost register is Rd on 72 and Rd==Rn on 9. Vd contributes no bit to the result, so it is not a source.
a64-bitfield-preserve	aarch64	^disas_a64/(BFM|EXTR)@?	^(bfxil|bfc|extr)$	^(?!REG_ZERO$)	RULED	target/arm/tcg/translate-a64.c trans_EXTR / trans_BFM -- `EXTR Xd,Xn,Xm,#0` is architecturally `MOV Xd,Xm`, and BFXIL with immr=0, imms=63 replaces the whole of Xd	WHOLE-POPULATION ARM over all 68,618 bitfield rows: 264 lose anything, each loses EXACTLY ONE register, and the bins are extr=192, bfxil=70, bfc=2 -- sbfx, ubfx and bfi are entirely clean. The losing rows are DEGENERATE, not preserving. The question's premise -- that this is R7.1 preservation -- does not survive the measurement. In both shapes the lost register supplies NO BIT to the published value, which is `a64-shift-degenerate-zero` and `a64-shift-insert-full` verbatim, both already RULED on the sentence 'a register that contributes no bit to the result is not a source'.
x86-movhlps-src	x86_64	^decode-new/VMOVLPx@vex=0$	^movhlps$	^(?!REG_ZERO$)	RULED	target/i386/tcg/decode-new.c.inc VMOVLPx; Intel SDM MOVLPD requires mod != 3; binutils 2.45.1 renders `66 0F 12 /r` with mod == 3 as `movlpd (bad),%xmm0`	WHOLE-POPULATION ARM over all 5,952 `movhlps` rows of the sled: 480 lose anything, EVERY one of them carries the 66 prefix with mod == 3, and all 5,440 rows without it are CLEAN -- the real MOVHLPS (`NP 0F 12 /r`) is complete and only the 66-prefixed form loses. The question asked whether the lost register is the source MOVHLPS moves or the destination it preserves; it is NEITHER. The encoding is architecturally INVALID, QEMU routes it to VMOVLPx and reads the r/m register, Capstone reads it as MOVHLPS and reads the reg register, and the row measures the DISAGREEMENT. No statement can close it: stating the read Capstone implies would agree with Capstone against both the SDM and QEMU. The real MOVHLPS -- `NP 0F 12 /r` -- is already complete.
x86-rdpmc	x86_64	^RDPMC$	^rdpmc$	^(?!REG_ZERO$)	RULED	target/i386/tcg/translate.c RDPMC -- e6b1816943 states the ECX read; QEMU has no CPUArchState member for a performance counter, so there is no range and no name for the counter itself	WHOLE-POPULATION ARM over the residue: three encodings, one register each, and the register is the performance-counter MSR. A WRITTEN REFUSAL rather than an omission: stating it needs a spelling, QEMU has none, and inventing one is what insn_dataflow_note_stated_read_name()'s own header refuses. The CR4.PCE gate and the ECX selector -- the two facts QEMU does have members for -- are both stated.
rv-csr-helper	riscv64	^decode_insn32/csrr?[wsc]i?$	.	^(?!REG_ZERO$)	RULED	target/riscv/insn_trans/trans_rvi.c.inc gen_note_csr_read() -- one architectural CSR, named once; 691089207e closed the 869 registers whose CSR number this build's csr_ops[] does not implement	WHOLE-POPULATION ARM over the residue: all 23 losing registers are REG_SYS and every one of those rows already carries the SPECIFIC word for the same architectural CSR in QN -- REG_SYSTIMER on rdcycle and rdtime, REG_SYSPERF on rdinstret, REG_SSP on the twenty CSR 0x011 rows. The reference publishes a specific word AND the generic residual word for ONE register; QEMU names it once, and naming it twice is what a statement here would do. A reference DOUBLE-NAMING, not a missing read.
